#
# clustering coefficient. G(150568, 12246069). Average clustering: 0.9315  OpenTriads: -836026651 (0.6033)  ClosedTriads: -2020504368 (0.3967) (Sun Nov  4 01:03:47 2018)
#
# Node degree	Average clustering coefficient
590	0.635666
591	0.834481
592	0.707146
593	0.862254
594	0.786341
595	0.814509
596	0.927994
597	0.857758
598	0.781822
599	0.746619
600	0.773206
601	0.618925
602	0.581
603	0.856488
604	0.587781
605	0.912063
606	0.924816
607	0.843233
608	0.85705
609	0.925014
610	0.91477
611	0.898522
612	0.82645
613	0.758673
614	0.676075
615	0.813264
616	0.792459
617	0.691431
618	0.644155
619	0.830215
620	0.845333
621	0.845271
622	0.805934
623	0.891541
624	0.742128
625	0.822985
626	0.771941
627	0.857379
628	0.702097
629	0.702732
630	0.691696
631	0.642428
632	0.722205
633	0.615057
634	0.682688
635	0.63734
636	0.674392
637	0.63903
638	0.621352
639	0.556682
640	0.71087
641	0.667186
642	0.687237
643	0.685304
644	0.649531
645	0.602261
646	0.652464
647	0.593753
648	0.663885
649	0.585854
650	0.713648
651	0.719454
652	0.609638
653	0.617549
654	0.589615
655	0.588755
656	0.694448
657	0.638752
658	0.620109
659	0.505037
660	0.66301
661	0.512856
662	0.956089
663	0.567005
664	0.961369
665	0.638301
666	0.670948
667	0.578529
668	0.691995
669	0.520473
670	0.734873
671	0.662611
672	0.633001
673	0.558313
674	0.666208
675	0.756014
676	0.684124
677	0.79603
678	0.694866
679	0.5881
680	0.678795
681	0.816822
682	0.588488
683	0.586918
684	0.672603
685	0.574503
686	0.633878
687	0.58924
688	0.985997
689	0.920071
690	0.863251
691	0.817497
692	0.863908
693	0.75233
694	0.909978
695	0.83479
696	0.87367
697	0.820669
698	0.837999
699	0.791466
700	0.790767
701	0.724678
702	0.736948
703	0.678115
704	0.739472
705	0.688805
706	0.708248
707	0.812397
708	0.802545
709	0.722224
710	0.697302
711	0.779026
712	0.668153
713	0.707535
714	0.658821
715	0.585788
716	0.763252
717	0.822913
718	0.725113
719	0.684065
720	0.627087
721	0.624193
722	0.587676
723	0.705004
724	0.507805
725	0.706519
726	0.706414
727	0.657887
728	0.7013
729	0.996462
730	0.835093
731	0.813689
732	0.576015
733	0.649453
734	0.877753
735	0.795022
736	0.679905
737	0.748745
738	0.814196
739	0.57756
740	0.740948
741	0.651594
742	0.601977
743	0.762249
744	0.783668
745	0.677361
746	0.640448
747	0.562774
748	0.625834
749	0.985907
750	0.552519
751	0.52653
752	0.645308
753	0.749542
754	0.625637
755	0.74855
756	0.690277
757	0.683655
758	0.729305
759	0.620295
760	0.538046
761	0.678864
762	0.763834
763	0.786517
764	0.748665
765	0.582833
766	0.756133
767	0.699251
768	0.694375
769	0.651314
770	0.617993
771	0.658731
772	0.660594
773	0.475731
774	0.79944
775	0.649374
776	0.614461
777	0.707329
778	0.663297
779	0.767917
780	0.698717
781	0.884533
782	0.668686
783	0.674658
784	0.574144
785	0.761899
786	0.641549
787	0.654509
788	0.723022
789	0.577234
790	0.755581
791	0.526452
792	0.666711
793	0.644348
794	0.667866
795	0.763636
796	0.706526
797	0.67508
798	0.587118
799	0.588737
800	0.613133
801	0.581957
802	0.616764
803	0.695048
804	0.589897
805	0.62579
806	0.580935
807	0.674725
808	0.586026
809	0.677628
810	0.590141
811	0.63112
812	0.540613
813	0.543034
814	0.691406
815	0.66147
816	0.694247
817	0.580802
818	0.75767
819	0.813903
820	0.69662
821	0.700752
822	0.756188
823	0.605496
824	0.997099
825	0.797768
826	0.719854
827	0.745467
828	0.665456
829	0.893327
830	0.669208
831	0.652064
832	0.64614
833	0.934981
834	0.573126
835	0.685564
836	0.710839
837	0.631489
838	0.973322
839	0.540938
840	0.754353
841	0.761244
842	0.696642
843	0.672256
844	0.678855
845	0.645066
846	0.802949
847	0.770226
848	0.584015
849	0.705488
850	0.733057
851	0.593569
852	0.735159
853	0.663353
854	0.774885
855	0.693588
856	0.733792
857	0.702063
858	0.574562
859	0.71427
860	0.740937
861	0.627196
862	0.751179
863	0.737437
864	0.681112
865	0.758698
866	0.576572
867	0.6228
868	0.638593
869	0.668537
870	0.703065
871	0.700754
872	0.712719
873	0.75785
874	0.704691
875	0.617917
876	0.674366
877	0.74468
878	0.583604
879	0.53244
880	0.71929
881	0.955691
882	0.668172
883	0.652248
884	0.639976
885	0.678692
886	0.760698
887	0.724212
888	0.794117
889	0.634988
890	0.735826
891	0.634666
892	0.658055
893	0.746419
894	0.792333
895	0.700116
896	0.672075
897	0.681894
898	0.611104
899	0.668148
900	0.728616
901	0.766911
902	0.67757
903	0.702279
904	0.523688
905	0.648809
906	0.72101
